,priority,category,company_name,phone,email,website,vk_url,telegram,whatsapp,rating,reviews_count,address,works_in_suburbs,description,source,source_url,status,contact_date,manager_comment
1,P1,Сантехника,RoomGPT,+76022150058,hello@room-gpt.ru,https://room-gpt.ru/blog/remont-kvartiry-s-chego-nachat,https://vk.com/roomgpt,https://t.me/roomgpt,,,,,True,"Пошаговый план ремонта квартиры для новичков. Последовательность работ, реальные сроки и бюджеты 2026, чек-лист, типичные ошибки. Бесплатная визуализация дизайна.",scrape,https://room-gpt.ru/blog/remont-kvartiry-s-chego-nachat,Не обработан,,
2,P1,Охрана,Елена Л.,+79998065029,gorodn.su@mail.ru,https://gorodn.su/,https://vk.com/club139076837,https://t.me/bazaotdykagorodn2017,,,,,True,Город N - база отдыха в Щелковском районе Московской области. Тел.: +7 (999) 806-50-29. База отдыха в Подмосковье по Щелковскому шоссе.,scrape,https://gorodn.su/,Не обработан,,
3,P1,Клининг,КЛИНТАЙМ54 –,+73832921085,klt-54@mail.ru,https://klintime.ru/,https://vk.com/klintime_54,https://t.me/klintime54,,,,,True,"🧹 Заказать профессиональный клининг в Новосибирске от компании «КЛИНТАЙМ54». Опыт работы с 2007 года. Оказываем широкий перечень услуг по уборке жилых и коммерческих помещений, химчистке мебели и других услуг клининга по доступным ценам.",scrape,https://klintime.ru/,Не обработан,,
4,P1,Клининг,Клининговая компания в Новосибирске | заказать клининг по выгодной цене,+73832888216,n.klining-pro@yandex.ru,https://novosibirsk.klining-pro.ru/,,,https://api.whatsapp.com/send?phone=79164865877,,,,True,"Уборка помещений в Новосибирске. Клининговая компания «Клининг-Про» предлагает услуги профессионального клининга квартир, офисов и домов. Спешите заказать качественный сервис по низким ценам. Ждем вашего звонка!",scrape,https://novosibirsk.klining-pro.ru/,Не обработан,,
5,P1,Строительство и ремонт,СМ-СтройИнвест,+79872961026,hello@sm-si.ru,https://sm-si.ru/,,https://t.me/helloSM,,,,"г. Казань, переулок Дорожный, 3",True,Официальный сайт ООО СМ-СтройИнвест,scrape,https://sm-si.ru/,Не обработан,,
6,P1,Охрана,Сервис видеонаблюдения,+78005551685,support@ivideon.com,https://ru.ivideon.com/,https://vk.com/ivideon,https://t.me/ivideon_help_bot,,,,,True,Ivideon предлагает профессиональные решения для видеонаблюдения и аналитики в реальном времени для вашего бизнеса.,scrape,https://ru.ivideon.com/,Не обработан,,
7,P1,Клининг,"Услуги клининга в Новосибирске, заказать уборку в клининговой компании Easy Клининг",+79231540054,easycleannsk@gmail.com,https://easycleaning.ru/,https://vk.com/easycleaning_russia,,https://wa.me/79231540054,,,,True,Широкий спектр клининговых услуг в Новосибирске. ✅ Доступные цены и профессиональные клинеры. ✅ Современное оборудование и гарантия качества уборки. Оставьте заявку или звоните: 📞 +7 (383) 242-94-61.,scrape,https://easycleaning.ru/,Не обработан,,
8,P1,Химчистка,Химчистка ДИАНА в Москве,+78002228226,diana@dryclean.ru,https://dryclean.ru/,https://vk.com/diana.dryclean,https://t.me/himchistkadiana,,,,,True,"Химчистка ""Диана"" предлагаем свои услуги по уборке, чистке, химчистке любых видов одежды, мебели, помещений и аксессуаров по самой выгодной цене. ☎️Наш номер телефона в Москве: 8 (800) 222-82-26",scrape,https://dryclean.ru/,Не обработан,,
9,P1,Дрова,ЦАРСКИЕ ДРОВА. МАГАЗИН БЕРЕЗОВЫХ И ДРУГИХ ДРОВ С ДОСТАВКОЙ,+79150069443,drovakol1@yandex.ru,https://www.drovales.ru/,https://vk.com/drovales,https://t.me/drovakol,https://wa.me/79266894706,,,,True,"Купить дрова березовые ― колотые и сухие с доставкой. Купить дрова от заготовителя для Подмосковья и Москвы.Заготовка и реализация сухих березовых и других дров, угля без выходных в Подмосковье и Москву: дрова березовые сухие, колотые берёзовые дрова, дубовые, дрова ольховые,осиновые. Колотые сухие ",scrape,https://www.drovales.ru/,Не обработан,,
10,P1,Клининг,Что входит в клининговые услуги,+74951323231,info@cleanon.ru,https://cleanon.ru/articles/chto-vhodit-v-kliningovye-uslugi/,https://vk.com/cleanon_ru,https://t.me/Cleanon,https://wa.me/79859703137,,,,True,"Что такое клининговые услуги. Что входит в профессиональный клининг квартир, домов и коммерческих помещений, сколько стоит. Преимущества профессиональной уборки.",scrape,https://cleanon.ru/articles/chto-vhodit-v-kliningovye-uslugi/,Не обработан,,
